id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook
mdc-bc95cc72d1f740058c2e,"Tarta de pañales ""Selva""",Escribe el nombre y dibujos que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,25.00 EUR,https://www.milesdecolores.com/producto/tarta-de-panales-selva,https://images.sumup.com/img_6QPPDV5EAH9M99JGY5TBV4857T,Miles de Colores,999
mdc-24b0c449702f033897be,"Body ""Bebé en camino""","Body ""Bebé en camino""",in stock,new,13.90 EUR,https://www.milesdecolores.com/producto/body-bebe-en-camino,https://images.sumup.com/img_0B6F77FN67922R31GJ3DG9QJHG,Miles de Colores,999
mdc-a132e80c88c839ef8025,Cubo XL,"Surtido variado de patatas, dulces, chocolate, chuches, refresco,etc...",in stock,new,25.00 EUR,https://www.milesdecolores.com/producto/cubo-xl,https://images.sumup.com/img_1AE0DFD02F8P4R902P1TCYK48C,Miles de Colores,999
mdc-b12f688f599d1dc45f69,Estuches de colores (eventos),IMPORTANTE: Cantidad mínima: 15 unidades. Por debajo de esa cantidad precio normal. Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,2.50 EUR,https://www.milesdecolores.com/producto/estuches-de-colores-eventos,https://images.sumup.com/img_5SM52EPZ4C817A0YCYENGMRYRZ,Miles de Colores,999
mdc-7736c93a5ef69892b4d0,Toalla Bluey,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,9.50 EUR,https://www.milesdecolores.com/producto/toalla-bluey,https://images.sumup.com/img_1ZV05MNWEX860VHH8NTT733GEC,Miles de Colores,999
mdc-ea7c5eb692cea0ecaf71,Toalla Equipo favorito,Toalla Equipo favorito,in stock,new,9.50 EUR,https://www.milesdecolores.com/producto/toalla-equipo-favorito,https://images.sumup.com/img_4VB3XCV2SN8S78P1HZ8VS3QJP8,Miles de Colores,999
mdc-a4cd837f31b7ce8dba40,Body nombre conejito,Body nombre conejito,in stock,new,13.90 EUR,https://www.milesdecolores.com/producto/body-nombre-conejito,https://images.sumup.com/img_7HCEBCXM8X8TW9RS0WAY1ZPG8G,Miles de Colores,999
mdc-b1672b7d2f91d0af20b9,Camiseta cumple Ralph,Escribe el nombre y número que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,10.90 EUR,https://www.milesdecolores.com/producto/camiseta-cumple-ralph,https://images.sumup.com/img_030PSTN2CH9G7RKN0D32FQZXG0,Miles de Colores,999
mdc-83453e7b76c05aba3030,Camiseta Jubilación,Escribe el año de jubilación que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,13.90 EUR,https://www.milesdecolores.com/producto/camiseta-jubilacion,https://images.sumup.com/img_10TPF2EJG69QZR33VE46XCSY92,Miles de Colores,999
mdc-1ea6060dc18416c358a0,CARTEL COLE,Escribe el nombre que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,19.90 EUR,https://www.milesdecolores.com/producto/cartel-cole,https://images.sumup.com/img_75ECK6YG409RQTKKYS0BS0JF7N,Miles de Colores,999
mdc-5015d2a2be4ee4619912,Conjunto camiseta + corona,"Escribe el nombre, talla y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.",in stock,new,26.00 EUR,https://www.milesdecolores.com/producto/conjunto-camiseta-corona-1,https://images.sumup.com/img_5R8HA1RZZ58TS8APQH9VD833GQ,Miles de Colores,999
mdc-38a08e4886e5aaf9c080,Corona + Camiseta,"Una vez añadido al carrito, puedes poner en el apartado ""MENSAJE PARA EL COMERCIANTE"" la talla, el nombre, y el número, así como los dibujos que se prefieran.",in stock,new,26.00 EUR,https://www.milesdecolores.com/producto/corona-camiseta,https://images.sumup.com/img_3SMJFE3CZF94AAV6PYAXNB3KQQ,Miles de Colores,999
mdc-f9c7d9857d70fe8dfe8e,Estrella de Navidad,"Una vez añadido al carrito, puedes poner en el apartado ""MENSAJE PARA EL COMERCIANTE"" los nombres a añadir o los apellidos de la familia.",in stock,new,10.00 EUR,https://www.milesdecolores.com/producto/estrella-de-navidad,https://images.sumup.com/img_5RWHMJDF818TYSKM71SH6CWB4J,Miles de Colores,999
mdc-3dc6bf9f1ab93dbc2f81,Placas cumplemes arcoíris,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,27.90 EUR,https://www.milesdecolores.com/producto/placas-cumplemes-arcoiris,https://images.sumup.com/img_7M84SZDNME832R6RJCBRXXMY38,Miles de Colores,999
mdc-7d1fb204ce42186fea8d,Pack fiambrera + botella con pitorro y tapón,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,21.90 EUR,https://www.milesdecolores.com/producto/pack-fiambrera-botella-con-pitorro-y-tapon,https://images.sumup.com/img_2ZVQS4M6DW88DRXZHXHE15HNY3,Miles de Colores,999
mdc-683cb301e92478282ac4,Pack Fiambrera + Botella térmica,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,27.90 EUR,https://www.milesdecolores.com/producto/pack-fiambrera-botella-termica,https://images.sumup.com/img_74V7JRRX9A8QCRV53W67GD8BJJ,Miles de Colores,999
mdc-9f6a6e5837158fa5d0a2,Hucha comunión,Escribe el nombre o frase que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/hucha-comunion,https://images.sumup.com/img_6FCCRR2TCX8JN8PYCV5Q9D04MC,Miles de Colores,999
mdc-b358797e34b624f452c8,Porta alianzas,Escribe los nombres y la fecha que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,19.90 EUR,https://www.milesdecolores.com/producto/porta-alianzas,https://images.sumup.com/img_4GAKGE6SD08SW8C6BM36FWAF7M,Miles de Colores,999
mdc-aa2dc8c0c75908a22763,Taza inicial rellena,Escribe el nombre e inicial que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,16.90 EUR,https://www.milesdecolores.com/producto/taza-inicial-rellena,https://images.sumup.com/img_3MSFNCFNTW9RGTMAYS8TXN2DC8,Miles de Colores,999
mdc-6a105e9463b13b1796e8,Pack fiambrera bambú+ botella termo,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,29.90 EUR,https://www.milesdecolores.com/producto/pack-fiambrera-bambu-botella-termo,https://images.sumup.com/img_6KJJSNK2CX8T6BS56F9RGJ0HFE,Miles de Colores,999
mdc-782ee9953aa3d8570b09,Neceser inicial,Escribe el nombre o inicial que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,8.90 EUR,https://www.milesdecolores.com/producto/neceser-inicial,https://images.sumup.com/img_3TQXNYMFGQ85NAFV78Y0Z0Q3VN,Miles de Colores,999
mdc-8b120fda012d2743d0b3,"Caja regalo ""Primera comunión""",Escribe el nombre que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,65.00 EUR,https://www.milesdecolores.com/producto/caja-regalo-primera-comunion,https://images.sumup.com/img_158EVFQTF39RJBDZ0MYSYNFZ8M,Miles de Colores,999
mdc-607792278aed0b9dda87,Taza + llavero,Escribe el nombre y color que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,17.90 EUR,https://www.milesdecolores.com/producto/taza-llavero,https://images.sumup.com/img_05EM1YQ10Z8BXTG9VQCE4742XT,Miles de Colores,999
